"","fire_year","number_fires","area_burned","mean_fire_size","median_fire_size","max_fire_size","fire_size_SD","fire_size_SE"
"73",1991,4,624.958,156.2395,54.2,492.058,224.797301231576,112.398650615788
"74",1992,0,0,0,0,0,NA,NA
"75",1993,0,0,0,0,0,NA,NA
"76",1994,11,2700.1,245.463636363636,66.3,919,338.292049190421,101.998890611371
"77",1995,0,0,0,0,0,NA,NA
"78",1996,1,52.6,52.6,52.6,52.6,NA,NA
"79",1997,1,125.8,125.8,125.8,125.8,NA,NA
"80",1998,3,523.019,174.339666666667,51.9,448.5,237.880769547127,137.340526333069
"81",1999,5,262.6,52.52,43.8,88.8,20.329215430016,9.09150152615067
"82",2000,17,1435.5,84.4411764705882,60.4,240.7,71.3242775885561,17.2986782452054
"83",2001,9,5547.3,616.366666666667,204.9,3258,1038.03596156395,346.011987187984
"84",2002,1,327.3,327.3,327.3,327.3,NA,NA
"85",2003,16,51534.183,3220.8864375,659.75,16243.483,4956.57956773248,1239.14489193312
"86",2004,0,0,0,0,0,NA,NA
"87",2005,1,82.166,82.166,82.166,82.166,NA,NA
"88",2006,5,771.597,154.3194,131.5,249.697,88.8289307140416,39.7255054890432
"89",2007,8,3263,407.875,68.25,1759.2,618.758110480755,218.764027917558
"90",2008,6,2437.946,406.324333333333,102.65,1841.346,712.814787804424,291.005418538518
"91",2009,6,265.594,44.2656666666667,39.3,82.194,24.9834271601529,10.1994414280609
"92",2010,2,121.2,60.6,60.6,82.2,30.5470129472589,21.6
"93",2011,1,22.385,22.385,22.385,22.385,NA,NA
"94",2012,4,1521.3,380.325,238.2,1014.7,461.905714585419,230.95285729271
"95",2013,1,143.6,143.6,143.6,143.6,NA,NA
"96",2014,8,5233.8,654.225,464.05,1966.9,660.262672296845,233.438106472725
"97",2015,8,2092.7,261.5875,96.45,1224.8,393.897109253891,139.263658521602
"98",2016,2,58.9,29.45,29.45,34.9,7.70746391493337,5.45
"99",2017,18,83041.5,4613.41666666667,967.8,26399,7453.57452298599,1756.82436309423
"100",2018,15,23028.4,1535.22666666667,783.2,9113.3,2274.72656801605,587.331874340115
"101",2019,2,79.9,39.95,39.95,47,9.97020561473032,7.05
"102",2020,1,7645.5,7645.5,7645.5,7645.5,NA,NA
"103",2021,11,5656.45433756,514.223121596364,146.79725177,2992.94125557,885.289828643334,266.92492657527
